Id,Rainfall,Temperature,Humidity,Water,Day_Name,Timestamp,Mean
65,571,28,22,930,Tue,7/18/2021,797
66,624,26,21,920,Wed,7/17/2021,803
67,715,27,25,966,Thu,7/16/2021,790
68,780,27,20,879,Fri,7/15/2021,799
69,609,33,13,1098,Sat,7/14/2021,803
70,618,31,24,1140,Sun,7/13/2021,792
71,1013,19,20,551,Mon,7/12/2021,797
72,928,31,24,892,Tue,7/11/2021,790
73,824,34,16,926,Wed,7/10/2021,808
74,1418,20,23,477,Thu,7/9/2021,793
75,1179,22,13,525,Fri,7/8/2021,794
76,562,34,22,1033,Sat,7/7/2021,805
77,1141,20,10,779,Sun,7/6/2021,807
78,1343,20,10,597,Mon,7/5/2021,795
79,1485,20,21,568,Tue,7/4/2021,797
80,1353,22,18,530,Wed,7/3/2021,802
81,1006,22,12,567,Thu,7/2/2021,791
82,1261,20,15,563,Fri,7/1/2021,800
83,924,30,12,1126,Sat,6/30/2021,808
84,823,26,10,1116,Sun,6/29/2021,792
85,742,25,15,986,Mon,6/28/2021,807
86,1229,20,16,594,Tue,6/27/2021,801
87,932,28,20,893,Wed,6/26/2021,800
88,1326,22,13,610,Thu,6/25/2021,793
89,1215,23,21,576,Fri,6/24/2021,810
90,1408,19,24,695,Sat,6/23/2021,807
91,884,26,21,1103,Sun,6/22/2021,795
92,584,29,20,941,Mon,6/21/2021,809
93,1444,23,20,533,Tue,6/20/2021,790
94,1182,23,14,525,Wed,6/19/2021,796
95,1319,23,20,504,Thu,6/18/2021,792
96,793,27,22,925,Fri,6/17/2021,805
97,1362,21,18,751,Sat,6/16/2021,798
98,744,28,25,1001,Sun,6/15/2021,799
99,1297,20,24,502,Mon,6/14/2021,802
100,1094,21,13,558,Tue,6/13/2021,806
101,698,30,13,948,Wed,6/12/2021,791
102,1085,20,12,609,Thu,6/11/2021,790
103,1062,21,18,531,Fri,6/10/2021,801
104,693,26,21,1101,Sat,6/9/2021,805
105,526,30,16,1078,Sun,6/8/2021,796
106,1310,22,18,521,Mon,6/7/2021,800
107,742,25,17,974,Tue,6/6/2021,809
108,1229,19,13,531,Wed,6/5/2021,793
109,651,31,14,997,Thu,6/4/2021,794
110,648,25,17,916,Fri,6/3/2021,810
111,1140,22,16,761,Sat,6/2/2021,804
112,1057,23,10,722,Sun,6/1/2021,806
113,1466,21,10,577,Mon,5/31/2021,801
114,670,25,16,915,Tue,5/30/2021,793
115,1180,19,16,554,Wed,5/29/2021,799
116,740,34,12,951,Thu,5/28/2021,805
117,875,25,23,908,Fri,5/27/2021,792
118,976,26,15,1159,Sat,5/26/2021,806
119,1301,19,21,673,Sun,5/25/2021,799
120,719,33,22,939,Mon,5/24/2021,810
121,622,30,14,1008,Tue,5/23/2021,804
122,1380,22,13,586,Wed,5/22/2021,790
123,1153,22,17,552,Thu,5/21/2021,793
124,1377,22,11,603,Fri,5/20/2021,791
125,1209,21,19,675,Sat,5/19/2021,809
126,1083,23,13,706,Sun,5/18/2021,807
127,574,34,22,907,Mon,5/17/2021,798
128,1497,20,17,547,Tue,5/16/2021,807
129,1460,21,19,549,Wed,5/15/2021,791
130,1255,21,18,574,Thu,5/14/2021,799
131,516,33,17,943,Fri,5/13/2021,793
132,1394,20,13,772,Sat,5/12/2021,790
133,577,33,20,1062,Sun,5/11/2021,806
134,622,26,25,960,Mon,5/10/2021,801
135,753,25,18,1004,Tue,5/9/2021,807
136,1417,22,11,572,Wed,5/8/2021,797
137,979,27,17,928,Thu,5/7/2021,810
138,905,31,17,969,Fri,5/6/2021,804
139,1127,20,11,707,Sat,5/5/2021,793
140,1355,21,17,723,Sun,5/4/2021,809
141,1033,22,12,580,Mon,5/3/2021,801
142,944,29,12,976,Tue,5/2/2021,795
143,590,32,19,994,Wed,5/1/2021,794
144,1188,20,19,614,Thu,4/30/2021,797
145,1023,22,19,583,Fri,4/29/2021,797
146,1005,20,21,733,Sat,4/28/2021,796
147,1397,19,23,714,Sun,4/27/2021,799
148,598,28,23,886,Mon,4/26/2021,807
149,977,31,20,948,Tue,4/25/2021,804
150,912,28,20,971,Wed,4/24/2021,796
151,918,30,24,896,Thu,4/23/2021,809
152,508,29,24,937,Fri,4/22/2021,797
153,999,25,25,1148,Sat,4/21/2021,803
154,1377,21,22,743,Sun,4/20/2021,801
155,1493,21,21,559,Mon,4/19/2021,803
156,1077,21,18,564,Tue,4/18/2021,802
157,771,29,23,896,Wed,4/17/2021,807
158,567,30,16,942,Thu,4/16/2021,792
159,1129,19,23,532,Fri,4/15/2021,808
160,528,26,12,1090,Sat,4/14/2021,808
161,950,25,20,1011,Sun,4/13/2021,804
162,929,25,14,998,Mon,4/12/2021,800
163,1386,22,24,512,Tue,4/11/2021,797
164,922,27,15,927,Wed,4/10/2021,799
165,924,29,13,1008,Thu,4/9/2021,799
166,1361,21,23,570,Fri,4/8/2021,804
167,1279,19,25,627,Sat,4/7/2021,801
168,1250,20,11,709,Sun,4/6/2021,795
169,1278,20,15,540,Mon,4/5/2021,798
170,1079,19,22,542,Tue,4/4/2021,803
171,692,28,21,937,Wed,4/3/2021,791
172,916,31,10,969,Thu,4/2/2021,793
173,797,27,16,1013,Fri,4/1/2021,808
174,1472,19,11,676,Sat,3/31/2021,794
175,1103,20,13,698,Sun,3/30/2021,792
176,691,34,14,946,Mon,3/29/2021,793
177,1367,22,17,574,Tue,3/28/2021,801
178,1009,19,10,575,Wed,3/27/2021,801
179,847,30,10,911,Thu,3/26/2021,796
180,800,30,11,917,Fri,3/25/2021,791
181,1455,22,16,765,Sat,3/24/2021,810
182,603,29,13,1126,Sun,3/23/2021,802
183,1052,19,25,557,Mon,3/22/2021,790
184,1110,22,21,536,Tue,3/21/2021,794
185,835,28,16,926,Wed,3/20/2021,803
186,1449,20,25,532,Thu,3/19/2021,795
187,875,32,24,951,Fri,3/18/2021,792
188,646,26,14,1092,Sat,3/17/2021,796
189,1364,21,12,733,Sun,3/16/2021,796
190,1113,23,23,526,Mon,3/15/2021,797
191,1148,21,11,595,Tue,3/14/2021,802
192,1306,21,25,523,Wed,3/13/2021,809
193,1429,21,24,479,Thu,3/12/2021,795
194,931,30,21,950,Fri,3/11/2021,796
195,638,26,20,1111,Sat,3/10/2021,798
196,555,32,25,1080,Sun,3/9/2021,805
197,943,32,25,922,Mon,3/8/2021,796
198,707,31,15,952,Tue,3/7/2021,793
199,1010,21,16,611,Wed,3/6/2021,796
200,1276,23,24,570,Thu,3/5/2021,798
201,1450,20,24,573,Fri,3/4/2021,803
202,834,25,18,1103,Sat,3/3/2021,802
203,537,27,12,1111,Sun,3/2/2021,804
204,953,30,16,1006,Mon,3/1/2021,810
205,600,26,22,947,Tue,2/28/2021,806
206,608,27,12,930,Wed,2/27/2021,810
207,726,32,24,873,Thu,2/26/2021,796
208,818,29,18,945,Fri,2/25/2021,806
209,600,25,20,1070,Sat,2/24/2021,808
210,1311,20,19,734,Sun,2/23/2021,792
211,1440,22,23,498,Mon,2/22/2021,797
212,913,30,22,890,Tue,2/21/2021,797
213,588,26,14,952,Wed,2/20/2021,806
214,1477,22,22,504,Thu,2/19/2021,799
215,934,26,11,918,Fri,2/18/2021,808
216,1090,20,15,726,Sat,2/17/2021,806
217,1373,19,12,731,Sun,2/16/2021,798
218,595,29,18,990,Mon,2/15/2021,804
219,531,25,20,925,Tue,2/14/2021,790
220,1016,21,18,516,Wed,2/13/2021,795
221,786,34,16,951,Thu,2/12/2021,795
222,1133,20,21,554,Fri,2/11/2021,805
223,544,25,10,1040,Sat,2/10/2021,809
224,1248,21,13,686,Sun,2/9/2021,793
225,1393,22,13,597,Mon,2/8/2021,801
226,1267,19,19,564,Tue,2/7/2021,800
227,946,32,11,996,Wed,2/6/2021,790
228,719,25,20,933,Thu,2/5/2021,792
229,1312,19,13,541,Fri,2/4/2021,810
230,606,26,20,1107,Sat,2/3/2021,801
231,1485,19,20,702,Sun,2/2/2021,797
232,1096,20,19,526,Mon,2/1/2021,804
233,1144,22,11,518,Tue,1/31/2021,804
234,1306,21,15,605,Thu,1/30/2021,792
235,1031,22,14,586,Fri,1/29/2021,803
236,746,28,13,1194,Sat,1/28/2021,803
237,1405,22,10,777,Sun,1/27/2021,806
238,1476,20,17,613,Mon,1/26/2021,803
239,958,25,13,1004,Tue,1/25/2021,800
240,1341,19,13,514,Wed,1/24/2021,809
241,623,34,20,901,Thu,1/23/2021,801
242,1137,21,10,528,Fri,1/22/2021,791
243,1190,21,25,665,Sat,1/21/2021,805
244,1329,20,12,709,Sun,1/20/2021,799
245,1376,21,17,519,Mon,1/19/2021,808
246,1431,21,11,582,Tue,1/18/2021,802
247,1272,20,21,546,Wed,1/17/2021,800
248,933,26,16,980,Thu,1/16/2021,793
249,1458,22,12,587,Fri,1/15/2021,791
250,1412,21,20,642,Sat,1/14/2021,795
251,1227,21,25,723,Sun,1/13/2021,790
252,637,29,17,968,Mon,1/12/2021,803
253,1110,21,12,534,Tue,1/11/2021,799
254,1406,21,20,542,Wed,1/10/2021,801
255,911,31,11,941,Thu,1/9/2021,802
256,744,29,24,970,Fri,1/8/2021,791
257,922,32,18,1158,Sat,1/7/2021,793
258,712,30,21,1112,Sun,1/6/2021,792
259,1146,22,24,532,Mon,1/5/2021,791
260,732,25,16,938,Tue,1/4/2021,793
261,1366,21,24,563,Wed,1/3/2021,799
262,915,32,25,935,Thu,1/2/2021,806
263,975,25,17,929,Fri,1/1/2021,802
264,1087,22,15,735,Sat,12/31/2020,801
265,1474,19,16,788,Sun,12/30/2020,793
266,1051,20,11,538,Mon,12/29/2020,800
267,642,32,15,1000,Tue,12/28/2020,808
268,846,33,22,952,Wed,12/27/2020,790
269,1275,23,13,544,Thu,12/26/2020,790
270,1358,23,13,525,Fri,12/25/2020,809
271,770,25,10,1122,Sat,12/24/2020,792
272,729,34,16,1140,Sun,12/23/2020,792
273,1069,22,14,540,Mon,12/22/2020,810
274,979,27,19,972,Tue,12/21/2020,793
275,1285,22,15,515,Wed,12/20/2020,791
276,1419,21,20,498,Thu,12/19/2020,798
277,1288,22,23,560,Fri,12/18/2020,795
278,1368,22,22,711,Sat,12/17/2020,793
279,831,34,18,1121,Sun,12/16/2020,809
280,579,29,12,939,Mon,12/15/2020,795
281,551,32,24,875,Tue,12/14/2020,790
282,505,28,19,976,Wed,12/13/2020,799
283,764,34,21,900,Thu,12/12/2020,799
284,942,32,15,915,Fri,12/11/2020,809
285,546,29,23,1058,Sat,12/10/2020,809
286,777,33,11,1090,Sun,12/9/2020,793
287,1043,22,17,544,Mon,12/8/2020,796
288,922,32,24,881,Tue,12/7/2020,806
289,1370,20,19,524,Wed,12/6/2020,803
290,544,32,24,942,Thu,12/5/2020,803
291,1199,19,16,554,Fri,12/4/2020,807
292,1067,21,13,706,Sat,12/3/2020,810
293,773,34,13,1170,Sun,12/2/2020,808
294,1411,23,22,491,Mon,12/1/2020,801
295,653,32,23,885,Tue,11/30/2020,794
296,685,33,13,977,Wed,11/29/2020,792
297,1161,19,21,542,Thu,11/28/2020,804
298,689,28,22,883,Fri,11/27/2020,801
299,904,27,18,1134,Sat,11/26/2020,808
300,708,34,11,1110,Sun,11/25/2020,790
301,1103,22,22,509,Mon,11/24/2020,792
302,1226,21,16,601,Tue,11/23/2020,804
303,1366,19,22,539,Wed,11/22/2020,795
304,961,32,18,1017,Thu,11/21/2020,790
305,630,29,16,1010,Fri,11/20/2020,793
306,795,26,18,1102,Sat,11/19/2020,793
307,1206,20,24,680,Sun,11/18/2020,807
308,1190,22,19,587,Mon,11/17/2020,790
309,943,32,18,954,Tue,11/16/2020,793
310,593,26,25,915,Wed,11/15/2020,801
311,972,33,18,920,Thu,11/14/2020,802
312,1112,22,14,612,Fri,11/13/2020,800
313,723,32,11,1114,Sat,11/12/2020,796
314,630,32,19,1115,Sun,11/11/2020,790
315,988,33,25,921,Mon,11/10/2020,809
316,1042,20,21,488,Tue,11/9/2020,801
317,1230,20,15,602,Wed,11/8/2020,805
318,1266,23,22,541,Thu,11/7/2020,804
319,1295,19,25,560,Fri,11/6/2020,809
320,631,29,17,1054,Sat,11/5/2020,796
321,1278,22,14,710,Sun,11/4/2020,791
322,674,27,11,919,Mon,11/3/2020,809
323,1180,20,17,562,Tue,11/2/2020,802
324,1095,19,11,574,Wed,11/1/2020,799
325,1186,19,11,572,Thu,10/31/2020,791
326,808,32,13,915,Fri,10/30/2020,799
327,791,26,20,1127,Sat,10/29/2020,806
328,683,27,11,1064,Sun,10/28/2020,805
329,1477,23,24,569,Mon,10/27/2020,800
330,547,31,22,963,Tue,10/26/2020,803
331,1481,19,13,585,Wed,10/25/2020,801
332,961,30,17,931,Thu,10/24/2020,804
333,1364,21,13,544,Fri,10/23/2020,799
334,857,33,22,1072,Sat,10/22/2020,800
335,1072,22,21,697,Sun,10/21/2020,797
336,1179,20,25,538,Mon,10/20/2020,792
337,1215,20,10,615,Tue,10/19/2020,807
338,1416,22,21,494,Wed,10/18/2020,797
339,594,28,18,916,Thu,10/17/2020,805
340,1061,19,23,487,Fri,10/16/2020,792
341,1450,22,15,712,Sat,10/15/2020,803
342,690,34,15,1051,Sun,10/14/2020,794
343,599,34,14,967,Mon,10/13/2020,805
344,961,33,25,973,Tue,10/12/2020,797
345,974,33,17,992,Wed,10/11/2020,801
346,850,26,25,873,Thu,10/10/2020,810
347,902,27,18,969,Fri,10/9/2020,797
348,988,28,10,1089,Sat,10/8/2020,810
349,1404,21,19,717,Sun,10/7/2020,794
350,1486,19,17,552,Mon,10/6/2020,799
351,1192,19,24,511,Tue,10/5/2020,791
352,802,26,11,1008,Wed,10/4/2020,793
353,652,34,25,916,Thu,10/3/2020,808
354,1246,20,21,570,Fri,10/2/2020,801
355,784,26,25,1135,Sat,10/1/2020,791
356,1265,21,19,691,Sun,9/30/2020,810
357,534,31,14,975,Mon,9/29/2020,809
358,898,26,22,967,Tue,9/28/2020,790
359,1021,19,11,552,Wed,9/27/2020,798
360,621,27,25,902,Thu,9/26/2020,800
361,1134,23,20,549,Fri,9/25/2020,801
362,1067,19,13,715,Sat,9/24/2020,794
363,1283,22,19,707,Sun,9/23/2020,799
364,1430,19,23,535,Mon,9/22/2020,793
365,944,32,12,949,Tue,9/21/2020,791
366,1380,22,21,493,Wed,9/20/2020,801
367,778,25,24,918,Thu,9/19/2020,801
368,1056,20,16,555,Fri,9/18/2020,802
369,671,30,13,1111,Sat,9/17/2020,800
370,1322,20,13,709,Sun,9/16/2020,793
371,896,34,11,990,Mon,9/15/2020,791
372,701,28,23,914,Tue,9/14/2020,796
373,658,26,19,959,Wed,9/13/2020,802
374,639,32,21,961,Thu,9/12/2020,807
375,796,34,20,932,Fri,9/11/2020,804
376,807,33,18,1173,Sat,9/10/2020,801
377,1489,22,22,670,Sun,9/9/2020,795
378,774,26,16,928,Mon,9/8/2020,796
379,696,30,17,1014,Tue,9/7/2020,800
380,1064,19,10,568,Wed,9/6/2020,792
381,570,34,15,966,Thu,9/5/2020,805
382,770,33,12,925,Fri,9/4/2020,801
383,793,30,25,1101,Sat,9/3/2020,806
384,1146,19,16,748,Sun,9/2/2020,804
385,803,30,11,1010,Mon,9/1/2020,798
386,1208,21,13,557,Tue,8/31/2020,809
387,577,29,10,922,Wed,8/30/2020,809
388,593,27,16,958,Thu,8/29/2020,799
389,673,31,16,946,Fri,8/28/2020,790
390,685,28,23,1005,Sat,8/27/2020,808
391,1007,22,19,702,Sun,8/26/2020,794
392,915,31,23,967,Mon,8/25/2020,792
393,942,25,17,971,Tue,8/24/2020,799
394,1070,22,16,520,Wed,8/23/2020,801
395,1444,23,17,526,Thu,8/22/2020,794
396,1383,21,19,575,Fri,8/21/2020,805
397,922,26,22,1080,Sat,8/20/2020,804
398,965,30,20,1085,Sun,8/19/2020,809
399,660,29,11,928,Mon,8/18/2020,794
400,1273,21,22,548,Tue,8/17/2020,799
401,814,33,20,948,Wed,8/16/2020,792
402,1187,19,20,544,Fri,8/15/2020,805
403,953,33,22,1084,Sat,8/14/2020,805
404,988,25,25,1112,Sun,8/13/2020,809
405,1249,19,20,495,Mon,8/12/2020,798
406,1396,22,17,605,Tue,8/11/2020,799
407,1036,23,10,563,Wed,8/10/2020,790
408,1191,20,15,566,Thu,8/9/2020,794
409,849,26,21,909,Fri,8/8/2020,795
410,771,32,16,1109,Sat,8/7/2020,808
411,1483,23,10,640,Sun,8/6/2020,804
412,1448,19,14,579,Mon,8/5/2020,800
413,529,31,12,957,Tue,8/4/2020,796
414,1402,19,16,519,Wed,8/3/2020,803
415,687,30,18,993,Thu,8/2/2020,791
416,1376,21,20,548,Fri,8/1/2020,800
417,934,34,17,1116,Sat,7/31/2020,800
418,1032,22,25,693,Sun,7/30/2020,797
419,1034,23,17,577,Mon,7/29/2020,793
420,973,27,19,938,Tue,7/28/2020,796
421,1429,21,24,518,Wed,7/27/2020,799
422,1204,19,14,552,Thu,7/26/2020,791
423,728,33,12,1012,Fri,7/25/2020,808
424,1480,23,22,711,Sat,7/24/2020,806
425,861,32,19,1144,Sun,7/23/2020,805
426,830,28,25,939,Mon,7/22/2020,808
427,995,30,25,959,Tue,7/21/2020,791
428,1303,19,20,503,Wed,7/20/2020,803
429,723,29,19,930,Thu,7/19/2020,810
430,1376,22,22,562,Fri,7/18/2020,795
431,1053,23,24,705,Sat,7/17/2020,795
432,621,25,11,1114,Sun,7/16/2020,800
433,920,31,22,898,Mon,7/15/2020,801
434,886,33,19,929,Tue,7/14/2020,805
435,1247,22,21,474,Wed,7/13/2020,796
436,526,26,17,970,Thu,7/12/2020,804
437,785,26,13,969,Fri,7/11/2020,803
438,671,27,20,1066,Sat,7/10/2020,804
439,1038,23,23,657,Sun,7/9/2020,790
440,1397,19,15,589,Mon,7/8/2020,796
441,576,32,11,996,Tue,7/7/2020,791
442,591,29,14,921,Wed,7/6/2020,794
443,1008,23,13,593,Thu,7/5/2020,796
444,815,28,12,939,Fri,7/4/2020,800
445,1126,19,18,660,Sat,7/3/2020,802
446,1168,22,24,628,Sun,7/2/2020,801
447,1336,22,11,532,Mon,7/1/2020,795
448,811,25,10,963,Tue,6/30/2020,793
449,721,34,22,932,Wed,6/29/2020,810
450,735,31,16,993,Thu,6/28/2020,802
451,777,29,24,897,Fri,6/27/2020,800
452,597,26,17,1147,Sat,6/26/2020,808
453,766,26,22,1073,Sun,6/25/2020,802
454,1259,19,16,572,Mon,6/24/2020,796
455,1141,19,18,581,Tue,6/23/2020,800
456,1057,20,11,568,Wed,6/22/2020,790
457,831,34,25,929,Thu,6/21/2020,802
458,943,30,22,892,Fri,6/20/2020,790
459,835,26,18,1121,Sat,6/19/2020,807
460,1499,21,21,695,Sun,6/18/2020,791
461,1067,21,17,550,Mon,6/17/2020,791
462,857,33,16,993,Tue,6/16/2020,790
463,1483,23,15,517,Wed,6/15/2020,810
464,1162,23,23,478,Thu,6/14/2020,804
465,1368,22,18,588,Fri,6/13/2020,795
466,725,25,11,1067,Sat,6/12/2020,793
467,1223,19,11,743,Sun,6/11/2020,802
468,1239,22,17,528,Mon,6/10/2020,801
469,814,26,25,952,Tue,6/9/2020,806
470,743,30,18,991,Wed,6/8/2020,804
471,1251,22,11,522,Thu,6/7/2020,799
472,905,33,15,1000,Fri,6/6/2020,799
473,845,26,24,1121,Sat,6/5/2020,810
474,1025,21,14,672,Sun,6/4/2020,790
475,1206,23,16,610,Mon,6/3/2020,798
476,980,25,19,1003,Tue,6/2/2020,801
477,1412,19,11,567,Wed,6/1/2020,798
478,1053,22,12,614,Thu,5/31/2020,797
479,590,33,23,909,Fri,5/30/2020,792
480,876,30,10,1142,Sat,5/29/2020,792
481,1142,21,15,687,Sun,5/28/2020,809
482,1028,19,19,569,Mon,5/27/2020,796
483,1491,23,24,525,Tue,5/26/2020,795
484,775,29,25,883,Wed,5/25/2020,809
485,567,34,17,940,Thu,5/24/2020,807
486,935,34,20,891,Fri,5/23/2020,790
487,579,32,22,1080,Sat,5/22/2020,804
488,1207,19,23,697,Sun,5/21/2020,800
489,1418,22,10,591,Mon,5/20/2020,805
490,1330,22,20,537,Tue,5/19/2020,795
491,1150,23,15,574,Wed,5/18/2020,798
492,501,32,16,959,Thu,5/17/2020,792
493,1033,20,11,578,Fri,5/16/2020,806
494,1073,20,23,597,Sat,5/15/2020,803
495,1144,19,14,677,Sun,5/14/2020,804
496,809,30,13,970,Mon,5/13/2020,790
497,1457,19,10,552,Tue,5/12/2020,801
498,1232,22,15,573,Wed,5/11/2020,809
499,764,25,19,918,Thu,5/10/2020,805
500,1260,19,11,557,Fri,5/9/2020,800
501,1258,21,24,692,Sat,5/8/2020,798
502,1149,22,18,786,Sun,5/7/2020,791
503,1138,22,11,524,Mon,5/6/2020,799
504,1446,21,25,551,Tue,5/5/2020,793
505,1025,19,12,582,Wed,5/4/2020,798
506,1382,20,22,549,Thu,5/3/2020,804
507,869,33,14,963,Fri,5/2/2020,808
508,1008,22,13,704,Sat,5/1/2020,793
509,1064,19,18,772,Sun,4/30/2020,809
510,582,27,10,976,Mon,4/29/2020,793
511,687,30,17,938,Tue,4/28/2020,790
512,1499,20,10,526,Wed,4/27/2020,799
513,582,28,19,1005,Thu,4/26/2020,791
514,1386,19,11,543,Fri,4/25/2020,795
515,1372,22,14,681,Sat,4/24/2020,805
516,989,28,14,1086,Sun,4/23/2020,808
517,993,25,20,933,Mon,4/22/2020,804
518,721,34,13,971,Tue,4/21/2020,790
519,1214,20,10,571,Wed,4/20/2020,803
520,1063,19,22,540,Thu,4/19/2020,806
521,780,30,20,883,Fri,4/18/2020,799
522,1160,20,17,718,Sat,4/17/2020,794
523,1016,19,23,735,Sun,4/16/2020,795
524,1250,19,18,583,Mon,4/15/2020,804
525,1308,19,17,613,Tue,4/14/2020,810
526,517,34,13,925,Wed,4/13/2020,806
527,600,33,18,983,Thu,4/12/2020,791
528,1026,20,23,488,Fri,4/11/2020,792
529,1329,23,16,781,Sat,4/10/2020,801
530,1117,21,13,713,Sun,4/9/2020,799
531,1207,19,15,568,Mon,4/8/2020,810
532,604,33,13,984,Tue,4/7/2020,797
533,1450,20,22,573,Wed,4/6/2020,802
534,939,32,13,977,Thu,4/5/2020,800
535,1053,19,21,506,Fri,4/4/2020,791
536,711,29,19,1121,Sat,4/3/2020,809
537,1010,20,22,670,Sun,4/2/2020,803
538,1425,20,16,538,Mon,4/1/2020,795
539,714,32,20,937,Tue,3/31/2020,810
540,643,31,17,925,Wed,3/30/2020,805
541,763,27,13,939,Thu,3/29/2020,803
542,668,28,10,989,Fri,3/28/2020,800
543,1327,21,14,692,Sat,3/27/2020,798
544,905,29,18,1153,Sun,3/26/2020,795
545,626,27,17,981,Mon,3/25/2020,807
546,1393,19,13,529,Tue,3/24/2020,804
547,1064,23,17,548,Wed,3/23/2020,797
548,1412,22,25,519,Thu,3/22/2020,799
549,1247,20,12,529,Fri,3/21/2020,802
550,875,34,13,1083,Sat,3/20/2020,802
551,1147,19,10,808,Sun,3/19/2020,794
552,1074,20,21,573,Mon,3/18/2020,800
553,1351,22,24,532,Tue,3/17/2020,804
554,846,29,24,912,Wed,3/16/2020,804
555,1288,20,21,567,Thu,3/15/2020,808
556,665,30,13,941,Fri,3/14/2020,791
557,849,34,12,1132,Sat,3/13/2020,804
558,1253,22,12,717,Sun,3/12/2020,804
559,1093,23,25,509,Mon,3/11/2020,808
560,1036,21,24,541,Tue,3/10/2020,799
561,1496,23,15,550,Wed,3/9/2020,794
562,514,27,21,920,Thu,3/8/2020,809
563,702,31,19,960,Fri,3/7/2020,798
564,1117,20,12,681,Sat,3/6/2020,804
565,949,26,11,1134,Sun,3/5/2020,799
566,830,34,14,942,Mon,3/4/2020,791
567,822,32,16,1006,Tue,3/3/2020,805
568,909,32,16,1000,Wed,3/2/2020,808
569,1352,23,18,583,Thu,3/1/2020,797
570,1264,19,12,693,Sat,2/29/2020,808
571,1166,20,13,715,Sun,2/28/2020,800
572,1424,20,10,577,Mon,2/27/2020,793
573,791,26,21,926,Tue,2/26/2020,803
574,1161,23,18,590,Wed,2/25/2020,798
575,750,28,23,900,Thu,2/24/2020,803
576,1075,20,16,608,Fri,2/23/2020,803
577,1136,20,15,664,Sat,2/22/2020,792
578,1456,21,10,689,Sun,2/21/2020,808
579,1441,20,12,536,Mon,2/20/2020,798
580,1161,22,25,487,Tue,2/19/2020,802
581,590,33,12,971,Wed,2/18/2020,809
582,658,32,10,963,Thu,2/17/2020,805
583,604,32,12,982,Fri,2/16/2020,805
584,902,27,10,1144,Sat,2/15/2020,793
585,1008,22,18,790,Sun,2/14/2020,799
586,604,34,15,954,Mon,2/13/2020,793
